Date Time,User,Owner,Identifier,Version,Event,Details
"2017-Feb-12, 17:54",curator@example.com,"","","",User,User logged in.
"2017-Feb-12, 17:54",curator@example.com,ACME,BC C100392,0.1.0,Create,Biomedical Concept created.
"2017-Feb-12, 17:55",curator@example.com,ACME,BC C100392,0.1.0,Update,Biomedical Concept updated.
"2017-Feb-12, 17:55",curator@example.com,ACME,BC C100393,0.1.0,Create,Biomedical Concept created.
"2017-Feb-12, 17:55",curator@example.com,ACME,BC C100393,0.1.0,Update,Biomedical Concept updated.
"2017-Feb-12, 17:55",curator@example.com,ACME,BC C100394,0.1.0,Create,Biomedical Concept created.
"2017-Feb-12, 17:55",curator@example.com,ACME,BC C100394,0.1.0,Update,Biomedical Concept updated.
"2017-Feb-12, 17:56",curator@example.com,ACME,BC C100395,0.1.0,Create,Biomedical Concept created.
"2017-Feb-12, 17:56",curator@example.com,ACME,BC C100395,0.1.0,Update,Biomedical Concept updated.
"2017-Feb-12, 17:56",curator@example.com,ACME,BC C100396,0.1.0,Create,Biomedical Concept created.
"2017-Feb-12, 17:56",curator@example.com,ACME,BC C100396,0.1.0,Update,Biomedical Concept updated.
"2017-Feb-12, 17:56",curator@example.com,ACME,BC C100397,0.1.0,Create,Biomedical Concept created.
"2017-Feb-12, 17:56",curator@example.com,ACME,BC C100397,0.1.0,Update,Biomedical Concept updated.
